symbol,organ_name
MDF,CTCP Gỗ MDF VRG - Quảng Trị
SPM,CTCP SPM
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng
BGW,CTCP Nước sạch Bắc Giang
MKV,CTCP Dược thú Y Cai Lậy
TMW,CTCP Tổng hợp Gỗ Tân Mai
BMJ,CTCP Khoáng sản Miền Đông AHP
SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn
VNC,CTCP Tập đoàn Vinacontrol
PIT,CTCP Xuất nhập khẩu Petrolimex
SMC,CTCP Đầu tư Thương mại SMC
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung
CKG,CTCP Tập đoàn CIC
MHC,CTCP MHC
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung
QNU,CTCP Môi trường Đô thị Quảng Nam
BOT,CTCP BOT Cầu Thái Hà
KHX,CTCP Phát hành sách Khánh Hòa
VKC,CTCP VKC Holdings 
VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam
TYA,CTCP Dây và Cáp Điện Taya Việt Nam
DSN,CTCP Công viên nước Đầm Sen
TSJ,CTCP Du lịch Dịch vụ Hà Nội
ICT,CTCP Viễn thông - Tin học Bưu điện
BMC,CTCP Khoáng sản Bình Định
TAL,CTCP Đầu tư Bất động sản Taseco
VIE,CTCP Công nghệ Viễn thông VITECO
HTN,CTCP Hưng Thịnh Incons
HNR,CTCP Rượu và Nước giải khát Hà Nội
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc
DDB,CTCP Thương mại và Xây dựng Đông Dương
TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
PRO,CTCP Procimex Việt Nam
TS3,CTCP Trường Sơn 532
DID,CTCP DIC - Đồng Tiến
S74,CTCP Sông Đà 7.04
DMC,CTCP Xuất nhập khẩu Y Tế DOMESCO
ACE,CTCP Bê tông Ly tâm An Giang
BNW,CTCP Nước sạch Bắc Ninh
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP
CQT,CTCP Xi măng Quán Triều VVMI
CTT,CTCP Chế tạo Máy - Vinacomin
SDC,CTCP Tư vấn Sông Đà
PPH,Tổng Công ty cổ phần Phong Phú
S55,CTCP Sông Đà 505
TMT,CTCP Ô tô TMT
CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco"
CAR,CTCP Tập đoàn Giáo dục Trí Việt
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
PMC,CTCP Dược phẩm Dược liệu Pharmedic
PPP,CTCP Dược phẩm Phong Phú
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt
CTF,CTCP City Auto
DRH,CTCP DRH Holdings
